[2025-10-24 19:04:22] [INFO    ] discord.client: logging in using static token
[2025-10-24 19:04:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-24 19:04:23] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-24 19:04:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1430911382429110392', 'username': 'Agarvv Demon', 'avatar': None, 'discriminator': '8777', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-24 19:04:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-24 19:04:23] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-24 19:04:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1430911382429110392', 'name': 'Agarvv Demon', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1430911382429110392', 'username': 'Agarvv Demon', 'avatar': None, 'discriminator': '8777', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'e05098637279c6a6996fabe6173a48569c1e6a91166fa6dc25e61ff63c5e0f2b', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1122986426959679653', 'username': 'sillagamer614.', 'avatar': '5a914a9da421a3a12c3ccd8cffe8f5b7', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 460590, 'global_name': 'Agarvv.c', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#07072e', 'clan': {'identity_guild_id': '778674594856960012', 'identity_enabled': True, 'tag': '.rs', 'badge': '020a5021cd5647ebfbeda471a33f8c4a'}, 'primary_guild': {'identity_guild_id': '778674594856960012', 'identity_enabled': True, 'tag': '.rs', 'badge': '020a5021cd5647ebfbeda471a33f8c4a'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-24 19:04:23] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-24 19:04:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-gdz6",{"micros":0.0}]']}}
[2025-10-24 19:04:23] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-24 19:04:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
